%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1752274927130235053,0,1752274927130235053,panda_link0,0.35688949559197086,8.890106505663459e-08,0.39999980079055525,-0.9238795444013773,0.3826834036598418,1.4865394566495712e-07,4.05595456854366e-09
1752274927251663369,1,1752274927251663369,panda_link0,0.35688949559197086,8.890106505663459e-08,0.39999980079055525,-0.9238795444013773,0.3826834036598418,1.4865394566495712e-07,4.05595456854366e-09
1752274927338175212,2,1752274927338175212,panda_link0,0.35688949559197086,8.890106505663459e-08,0.39999980079055525,-0.9238795444013773,0.3826834036598418,1.4865394566495712e-07,4.05595456854366e-09
1752274927432544654,3,1752274927432544654,panda_link0,0.35688949559197086,8.890106505663459e-08,0.39999980079055525,-0.9238795444013773,0.3826834036598418,1.4865394566495712e-07,4.05595456854366e-09
1752274927530603037,4,1752274927530603037,panda_link0,0.35688949559197086,8.890106505663459e-08,0.39999980079055525,-0.9238795444013773,0.3826834036598418,1.4865394566495712e-07,4.05595456854366e-09
1752274927631586186,5,1752274927631586186,panda_link0,0.35688949559197086,8.890106505663459e-08,0.39999980079055525,-0.9238795444013773,0.3826834036598418,1.4865394566495712e-07,4.05595456854366e-09
1752274927731553113,6,1752274927731553113,panda_link0,0.35688949559197086,8.890106505663459e-08,0.39999980079055525,-0.9238795444013773,0.3826834036598418,1.4865394566495712e-07,4.05595456854366e-09
1752274927830268559,7,1752274927830268559,panda_link0,0.35688949559197086,8.890106505663459e-08,0.39999980079055525,-0.9238795444013773,0.3826834036598418,1.4865394566495712e-07,4.05595456854366e-09
1752274927942931966,8,1752274927942931966,panda_link0,0.35688949559197086,8.890106505663459e-08,0.39999980079055525,-0.9238795444013773,0.3826834036598418,1.4865394566495712e-07,4.05595456854366e-09
1752274928039337066,9,1752274928039337066,panda_link0,0.35688949559197086,8.890106505663459e-08,0.39999980079055525,-0.9238795444013773,0.3826834036598418,1.4865394566495712e-07,4.05595456854366e-09
1752274928130089179,10,1752274928130089179,panda_link0,0.35688949559197086,8.890106505663459e-08,0.39999980079055525,-0.9238795444013773,0.3826834036598418,1.4865394566495712e-07,4.05595456854366e-09
1752274928229610770,11,1752274928229610770,panda_link0,0.35688949559197086,8.890106505663459e-08,0.39999980079055525,-0.9238795444013773,0.3826834036598418,1.4865394566495712e-07,4.05595456854366e-09
1752274928346843954,12,1752274928346843954,panda_link0,0.35688949559197086,8.890106505663459e-08,0.39999980079055525,-0.9238795444013773,0.3826834036598418,1.4865394566495712e-07,4.05595456854366e-09
1752274928440772439,13,1752274928440772439,panda_link0,0.35688949559197086,8.890106505663459e-08,0.39999980079055525,-0.9238795444013773,0.3826834036598418,1.4865394566495712e-07,4.05595456854366e-09
1752274928529772920,14,1752274928529772920,panda_link0,0.35688949559197086,8.890106505663459e-08,0.39999980079055525,-0.9238795444013773,0.3826834036598418,1.4865394566495712e-07,4.05595456854366e-09
1752274928629673623,15,1752274928629673623,panda_link0,0.35688949559197086,8.890106505663459e-08,0.39999980079055525,-0.9238795444013773,0.3826834036598418,1.4865394566495712e-07,4.05595456854366e-09
1752274928732138415,16,1752274928732138415,panda_link0,0.35688949559197086,8.890106505663459e-08,0.39999980079055525,-0.9238795444013773,0.3826834036598418,1.4865394566495712e-07,4.05595456854366e-09
1752274928829386482,17,1752274928829386482,panda_link0,0.35688949559197086,8.890106505663459e-08,0.39999980079055525,-0.9238795444013773,0.3826834036598418,1.4865394566495712e-07,4.05595456854366e-09
1752274928931092797,18,1752274928931092797,panda_link0,0.35688949559197086,8.890106505663459e-08,0.39999980079055525,-0.9238795444013773,0.3826834036598418,1.4865394566495712e-07,4.05595456854366e-09
1752274929032069072,19,1752274929032069072,panda_link0,0.35688949559197086,8.890106505663459e-08,0.39999980079055525,-0.9238795444013773,0.3826834036598418,1.4865394566495712e-07,4.05595456854366e-09
